Character,Dialogue,Sentiment,Sentiment Category
Dawn Bellwether," come on out judy.
",0.0,Neutral
Judy Hopps," whispers giving the case to nick take the case. get it to bogo.
",0.34,Positive
Nick Wilde," whispers im not gonna leave you behind thats not happening.
",0.0382,Neutral
Judy Hopps," i cant walk!
",0.0,Neutral
Nick Wilde," looking around just... well think of something.
",0.2732,Positive
Dawn Bellwether," were on the same team judy! underestimated underappreciated... arent you sick of it? she motions to the rams to spread out before continuing predators  they may be strong and loud but prey outnumber predators tentoone. bellwether notices a rabbitshaped shadow on the wall. she snaps her fingers to one of the sheep cops and points to where she thinks judy is. think of it  90 of the population united against a common enemy. well be unstoppable.
",0.2831,Positive
Dawn Bellwether," over there! the rams run after the pair
",0.0,Neutral
Dawn Bellwether," well you should have just stayed on the carrot farm huh? it really is too bad i... i did like you.
",-0.0422,Neutral
Judy Hopps," what are you gonna do? kill me?
",-0.7236,Negative
Dawn Bellwether," chuckles oh no of course not ha ha. she takes out the dart gun with an evil grin. he is!
",-0.7293,Negative
Judy Hopps," no! oh nick!
",0.0,Neutral
Dawn Bellwether," on the phone in a fake panicked tone of voice yes police?! theres a savage fox in the natural history museum! officer hopps is down! please hurry!
",-0.5815,Negative
Judy Hopps," no nick! dont do this fight it!
",-0.6988,Negative
Dawn Bellwether," chuckles oh but he cant help it can he? since preds are just biologically predisposed to be savages.
",-0.7868,Negative
Dawn Bellwether," laughs evilly gosh think of the headlines! hero cop killed by savage fox!
",-0.7707,Negative
Judy Hopps," so thats it? prey fears predators and you stay in power?
",-0.4871,Negative
Dawn Bellwether," yeah pretty much.
",0.6597,Positive
Judy Hopps," it wont work!
",0.0,Neutral
Dawn Bellwether," fear always works! and ill dart every predator in zootopia to keep it that way.
",-0.7424,Negative
Judy Hopps," oh nick... no...
",0.0,Neutral
Dawn Bellwether," chuckles then glares byebye bunny.
",0.2732,Positive
Judy Hopps," sticks out her tongue bleeeeeeh! nick lets go of judys neck and backs away chuckling at her playful acting. she gestures imitating blood spurting out in a similar vein to how she was acting in the play in her childhood. blood! blood! blood! flopping back down and... death.
",0.5815,Positive
Nick Wilde," getting back to his feet all right you know youre milking it. bellwether gives a stunned look besides i think we got it. shouts out as he stands up and judy and nick put their arms around each other i think we got it! we got it up there! thank you yacketyyak! you laid it all out beautifully!
",0.7887,Positive
Dawn Bellwether," looks at her dart gun confused what?
",-0.5719,Negative
Nick Wilde," yeah oh are are you looking for the serum? he pulls the serum pellet out from his shirt pocket well its right here. puts it back in his pocket
",0.5106,Positive
Judy Hopps," what youve got in the weapon there? those are blueberries. from my familys farm! bellwether opens the chamber of the dart gun and sees the ammo has been replaced with blueberries.
",-0.5983,Negative
Nick Wilde," tastes the blueberry where hes been hit and blows a kiss mwah! they are delicious you should try some.
",0.8832,Positive
Dawn Bellwether," growls furiously closing the gun i framed lionheart i can frame you too! adjusts her glasses primly its my word against yours.
",-0.68,Negative
Judy Hopps," ooh! actually...judy pulls out her carrot pen and plays back bellwethers crazed speech.
",0.2003,Positive
Dawn Bellwether," through carrot pen and ill dart every predator in zootopia to keep it that way.
",-0.4215,Negative
Judy Hopps," ...its your word against yours. 
",0.0,Neutral
Dawn Bellwether," her jaw drops shocked and dumbfounded huh? judy and nick smile triumphantly.
",0.2263,Positive
Judy Hopps," its called a hustle sweetheart. boom.
",0.6486,Positive
Fabienne Growley," former mayor dawn bellwether is behind bars today guilty of masterminding the savage attacks that have plagued zootopia of late. they show bellwether in an orange jumpsuit in handcuffs filled with contempt as officers jackson and krumpanski escort her through the crowd as photographers take pictures.
",-0.91,Negative
Leodore Lionheart," did i falsely imprison those animals? well yes. yes i did. it was a classic doing the wrong thing for the right reason kind of a deal.
",0.5267,Positive
Fabienne Growley," in related news doctors say the night howler antidote is proving effective in rehabilitating the afflicted predators.
",0.1531,Positive
Mrs. Otterton," emmitt? oh emmitt! the ottertons hug very deeply in relief. mrs. otterton turns to judy who is back in her police uniform and her leg is healed. thank you.
",0.8602,Positive
Judy Hopps," when i was a kid i thought zootopia was this perfect place where everyone got along and anyone could be anything. turns out real life is a little bit more complicated than a slogan on a bumper sticker. real life is messy. she goes to the zpd and sees clawhauser happy and back at his old job. he sets his gazelle snow globe and his name tag and sees officers higgins and krumpanski giving him two boxes of donuts. he smiles. judy smiles. we all have limitations we all make mistakes which means  hey glass half full!  we all have a lot in common. and the more we try to understand one another the more exceptional each of us will be. the scene changes to a graduation ceremony the same location where judy graduated and judy gives a speech but we have to try. so no matter what type of animal you are from the biggest elephant to our first fox we see nick in full police uniform holding a beverage lifts up his shades and winks at judy inspired by her words i implore you  try. try to make the world a better place. later judy opens a box revealing a badge. she places the badge on nicks uniform. she salutes nick who salutes her back. look inside yourself and recognize that change starts with you. it starts with me. it starts with all of us.
",0.9413,Positive
Chief Bogo," all right all right enough. shut it! the officers sit we have some new recruits with us this morning including our first fox. nick is seen sitting next to judy on the same chair shes standing on who cares?
",0.5093,Positive
Nick Wilde," ha! you should have your own line of inspirational greeting cards sir!
",0.7568,Positive
Chief Bogo," shut your mouth wilde!
",0.0,Neutral
Chief Bogo," takes out his glasses and files assignments: officers grizzoli fangmeyer delgato  tundratown swat. they stand and leave snarlov higgins wolfard  undercover. snarlov puts on a green cap higgins puts on a fake mustache and wolfard puts on a sheep costume and they leave. hopps wilde... parking duty. dismissed. judy and nick look at the chief shocked. then bogo grins. just kidding! goes back to looking serious we have reports of a street racer tearing up savannah central. find him. shut him down.
",-0.6239,Negative
Nick Wilde," so are all rabbits bad drivers or is it just you?
",-0.5423,Negative
Judy Hopps," deadpan oops. sorry. nick gets up with the pawpsicle stuck to his eye. he pulls it off his eye with a grunt and chuckles.
",-0.0516,Negative
Nick Wilde," sly bunny.
",0.0,Neutral
Judy Hopps," looks back at the road and smirks dumb fox!
",-0.5562,Negative
Nick Wilde," waves the pawpsicle in her direction grinning you know you love me.
",0.7717,Positive
Judy Hopps," do i know that? looks at nick and smiles yes. yes i do.
",0.8176,Positive
Judy Hopps," sir you were going 115 miles per hour i hope you have a good explanation. the window rolls down revealing flash looking at them nervously. judy looks at him shocked and nick removes his shades surprised and amused.
",0.765,Positive
Nick Wilde," flash flash hundredyard dash!
",0.0,Neutral
Flash Slothmore," slowly smiles sheepishly niiiick...
",0.4767,Positive
Gazelle," good evening zootopia! come on everybody put your paws up!
",0.5399,Positive
Gazelle," put your paws in the air come on! con las pezuñas arriba vamos! eso!
",0.0,Neutral
Gazelle," con las pezuñas arriba! come on! shake your tails with me come on! yeah!
",0.3956,Positive
